"Município","Pedestre","Ciclista","Motociclista","triciclo","automóvel","caminhonete","transp_pesado","ônibus","Outros","Total"
"110001 Alta Floresta D'Oeste",0,0,0,0,0,0,0,0,2,2
"110037 Alto Alegre dos Parecis",0,0,0,0,0,0,0,0,1,1
"110040 Alto Paraíso",0,0,1,0,0,0,0,0,2,3
"110034 Alvorada D'Oeste",1,0,0,0,0,0,0,0,0,1
"110002 Ariquemes",6,1,9,0,7,1,2,1,1,28
"110045 Buritis",0,0,3,0,1,0,1,0,0,5
"110003 Cabixi",1,0,0,0,0,0,0,0,0,1
"110060 Cacaulândia",0,0,1,0,0,0,0,0,0,1
"110004 Cacoal",9,3,28,0,10,0,0,0,0,50
"110070 Campo Novo de Rondônia",0,0,0,0,0,0,1,0,0,1
"110080 Candeias do Jamari",0,0,3,0,0,0,0,0,4,7
"110090 Castanheiras",0,0,1,0,0,0,0,0,0,1
"110005 Cerejeiras",1,2,2,0,1,0,0,0,0,6
"110006 Colorado do Oeste",0,1,0,0,0,0,1,0,2,4
"110007 Corumbiara",0,0,1,0,0,0,0,0,0,1
"110009 Espigão D'Oeste",0,0,2,0,0,0,0,0,0,2
"110100 Governador Jorge Teixeira",0,0,3,0,0,0,0,0,0,3
"110010 Guajará0Mirim",1,0,1,0,0,0,0,0,0,2
"110110 Itapuã do Oeste",0,0,0,0,0,0,0,0,1,1
"110011 Jaru",1,0,5,1,2,0,2,0,2,13
"110012 Ji0Paraná",1,0,2,0,9,1,0,0,12,25
"110013 Machadinho D'Oeste",1,0,3,0,0,0,0,0,0,4
"110130 Mirante da Serra",0,0,0,0,0,0,0,0,1,1
"110014 Nova Brasilândia D'Oeste",0,0,2,0,0,0,0,0,1,3
"110033 Nova Mamoré",0,0,5,0,1,0,0,0,1,7
"110050 Novo Horizonte do Oeste",0,0,0,0,0,0,0,0,3,3
"110015 Ouro Preto do Oeste",1,0,2,0,1,0,0,0,5,9
"110018 Pimenta Bueno",0,1,0,0,6,1,0,0,0,8
"110020 Porto Velho",23,11,52,0,18,2,1,0,18,125
