porte,prioridade,cluster_a,cluster_b,cluster_c
Menor porte,1,2,2,1
Menor porte,2,2,2,3
Menor porte,3,2,2,2
Menor porte,4,2,1,1
Menor porte,5,2,1,3
Menor porte,6,2,1,2
Menor porte,7,2,3,1
Menor porte,8,2,3,3
Menor porte,9,2,3,2
Menor porte,10,1,2,1
Menor porte,11,1,2,3
Menor porte,12,1,2,2
Menor porte,13,1,1,1
Menor porte,14,1,1,3
Menor porte,15,1,1,2
Menor porte,16,1,3,1
Menor porte,17,1,3,3
Menor porte,18,1,3,2
Menor porte,19,3,2,1
Menor porte,20,3,2,3
Menor porte,21,3,2,2
Menor porte,22,3,1,1
Menor porte,23,3,1,3
Menor porte,24,3,1,2
Menor porte,25,3,3,1
Menor porte,26,3,3,3
Menor porte,27,3,3,2
Médio porte,1,3,3,1
Médio porte,2,3,3,3
Médio porte,3,3,3,2
Médio porte,4,3,2,1
Médio porte,5,3,2,3
Médio porte,6,3,2,2
Médio porte,7,3,1,1
Médio porte,8,3,1,3
Médio porte,9,3,1,2
Médio porte,10,2,3,1
Médio porte,11,2,3,3
Médio porte,12,2,3,2
Médio porte,13,2,2,1
Médio porte,14,2,2,3
Médio porte,15,2,2,2
Médio porte,16,2,1,1
Médio porte,17,2,1,3
Médio porte,18,2,1,2
Médio porte,19,1,3,1
Médio porte,20,1,3,3
Médio porte,21,1,3,2
Médio porte,22,1,2,1
Médio porte,23,1,2,3
Médio porte,24,1,2,2
Médio porte,25,1,1,1
Médio porte,26,1,1,3
Médio porte,27,1,1,2
Maior porte,1,2,3,2
Maior porte,2,2,3,1
Maior porte,3,2,3,3
Maior porte,4,2,2,2
Maior porte,5,2,2,1
Maior porte,6,2,2,3
Maior porte,7,2,1,2
Maior porte,8,2,1,1
Maior porte,9,2,1,3
Maior porte,10,3,3,2
Maior porte,11,3,3,1
Maior porte,12,3,3,3
Maior porte,13,3,2,2
Maior porte,14,3,2,1
Maior porte,15,3,2,3
Maior porte,16,3,1,2
Maior porte,17,3,1,1
Maior porte,18,3,1,3
Maior porte,19,1,3,2
Maior porte,20,1,3,1
Maior porte,21,1,3,3
Maior porte,22,1,2,2
Maior porte,23,1,2,1
Maior porte,24,1,2,3
Maior porte,25,1,1,2
Maior porte,26,1,1,1
Maior porte,27,1,1,3
