"Município";"Quantidade"
"110001 Alta Floresta D'Oeste";334
"110037 Alto Alegre dos Parecis";106
"110040 Alto Paraíso";169
"110034 Alvorada D'Oeste";128
"110002 Ariquemes";1307
"110045 Buritis";366
"110003 Cabixi";94
"110060 Cacaulândia";44
"110004 Cacoal";2332
"110070 Campo Novo de Rondônia";163
"110080 Candeias do Jamari";210
"110090 Castanheiras";84
"110005 Cerejeiras";239
"110092 Chupinguaia";153
"110006 Colorado do Oeste";210
"110007 Corumbiara";116
"110008 Costa Marques";110
"110094 Cujubim";110
"110009 Espigão D'Oeste";284
"110100 Governador Jorge Teixeira";110
"110010 Guajará-Mirim";668
"110110 Itapuã do Oeste";124
"110011 Jaru";686
"110012 Ji-Paraná";1763
"110013 Machadinho D'Oeste";338
"110120 Ministro Andreazza";91
"110130 Mirante da Serra";89
"110140 Monte Negro";129
"110014 Nova Brasilândia D'Oeste";137
"110033 Nova Mamoré";257
"110143 Nova União";70
"110050 Novo Horizonte do Oeste";91
"110015 Ouro Preto do Oeste";340
"110145 Parecis";66
"110018 Pimenta Bueno";568
"110146 Pimenteiras do Oeste";50
"110020 Porto Velho";10538
"110025 Presidente Médici";235
"110147 Primavera de Rondônia";75
"110026 Rio Crespo";57
"110028 Rolim de Moura";586
"110029 Santa Luzia D'Oeste";93
"110148 São Felipe D'Oeste";88
"110149 São Francisco do Guaporé";256
"110032 São Miguel do Guaporé";150
"110150 Seringueiras";99
"110155 Teixeirópolis";50
"110160 Theobroma";168
"110170 Urupá";104
"110175 Vale do Anari";96
"110180 Vale do Paraíso";77
"110030 Vilhena";1579
"120001 Acrelândia";160
"120005 Assis Brasil";128
"120010 Brasiléia";455
"120013 Bujari";91
"120017 Capixaba";87
"120020 Cruzeiro do Sul";1616
"120025 Epitaciolândia";139
"120030 Feijó";226
"120032 Jordão";90
"120033 Mâncio Lima";219
"120034 Manoel Urbano";130
"120035 Marechal Thaumaturgo";212
"120038 Plácido de Castro";349
"120080 Porto Acre";104
"120039 Porto Walter";139
"120040 Rio Branco";6825
"120042 Rodrigues Alves";175
"120043 Santa Rosa do Purus";102
"120050 Sena Madureira";537
"120045 Senador Guiomard";231
"120060 Tarauacá";305
"120070 Xapuri";191
"130002 Alvarães";269
"130006 Amaturá";222
"130008 Anamã";227
"130010 Anori";159
"130014 Apuí";253
"130020 Atalaia do Norte";352
"130030 Autazes";485
"130040 Barcelos";456
"130050 Barreirinha";429
"130060 Benjamin Constant";516
"130063 Beruri";187
"130068 Boa Vista do Ramos";253
"130070 Boca do Acre";483
"130080 Borba";491
"130083 Caapiranga";215
"130090 Canutama";179
"130100 Carauari";265
"130110 Careiro";432
"130115 Careiro da Várzea";314
"130120 Coari";883
"130130 Codajás";264
"130140 Eirunepé";512
"130150 Envira";262
"130160 Fonte Boa";358
"130165 Guajará";255
"130170 Humaitá";764
"130180 Ipixuna";258
"130185 Iranduba";738
"130190 Itacoatiara";1583
"130195 Itamarati";127
