"Município";"Sim";"Não";"Total"
"110001 Alta Floresta D'Oeste";310;18;328
"110037 Alto Alegre dos Parecis";105;10;115
"110040 Alto Paraíso";157;11;168
"110034 Alvorada D'Oeste";133;11;144
"110002 Ariquemes";1103;311;1414
"110045 Buritis";340;58;398
"110003 Cabixi";95;9;104
"110060 Cacaulândia";54;1;55
"110004 Cacoal";2222;450;2672
"110070 Campo Novo de Rondônia";169;6;175
"110080 Candeias do Jamari";214;1;215
"110090 Castanheiras";85;-;85
"110005 Cerejeiras";246;15;261
"110092 Chupinguaia";151;10;161
"110006 Colorado do Oeste";215;12;227
"110007 Corumbiara";114;2;116
"110008 Costa Marques";129;-;129
"110094 Cujubim";131;-;131
"110009 Espigão D'Oeste";258;44;302
"110100 Governador Jorge Teixeira";114;1;115
"110010 Guajará-Mirim";667;50;717
"110110 Itapuã do Oeste";139;-;139
"110011 Jaru";631;162;793
"110012 Ji-Paraná";1306;523;1829
"110013 Machadinho D'Oeste";335;18;353
"110120 Ministro Andreazza";85;4;89
"110130 Mirante da Serra";89;4;93
"110140 Monte Negro";173;5;178
"110014 Nova Brasilândia D'Oeste";141;12;153
"110033 Nova Mamoré";269;8;277
"110143 Nova União";66;-;66
"110050 Novo Horizonte do Oeste";92;-;92
"110015 Ouro Preto do Oeste";362;57;419
"110145 Parecis";68;-;68
"110018 Pimenta Bueno";447;156;603
"110146 Pimenteiras do Oeste";55;-;55
"110020 Porto Velho";10370;2092;12462
"110025 Presidente Médici";227;26;253
"110147 Primavera de Rondônia";78;-;78
"110026 Rio Crespo";74;-;74
"110028 Rolim de Moura";491;136;627
"110029 Santa Luzia D'Oeste";89;3;92
"110148 São Felipe D'Oeste";84;3;87
"110149 São Francisco do Guaporé";266;8;274
"110032 São Miguel do Guaporé";166;24;190
"110150 Seringueiras";91;2;93
"110155 Teixeirópolis";62;-;62
"110160 Theobroma";181;-;181
"110170 Urupá";105;7;112
"110175 Vale do Anari";96;2;98
"110180 Vale do Paraíso";84;-;84
"110030 Vilhena";1295;419;1714
"120001 Acrelândia";170;3;173
"120005 Assis Brasil";143;-;143
"120010 Brasiléia";473;2;475
"120013 Bujari";89;2;91
"120017 Capixaba";97;-;97
"120020 Cruzeiro do Sul";1637;87;1724
"120025 Epitaciolândia";133;10;143
"120030 Feijó";223;1;224
"120032 Jordão";114;-;114
"120033 Mâncio Lima";210;8;218
"120034 Manoel Urbano";130;-;130
"120035 Marechal Thaumaturgo";231;-;231
"120038 Plácido de Castro";278;-;278
"120080 Porto Acre";116;-;116
"120039 Porto Walter";158;-;158
"120040 Rio Branco";6587;764;7351
"120042 Rodrigues Alves";179;2;181
"120043 Santa Rosa do Purus";97;-;97
"120050 Sena Madureira";552;13;565
"120045 Senador Guiomard";266;1;267
"120060 Tarauacá";316;15;331
"120070 Xapuri";220;3;223
"130002 Alvarães";259;-;259
"130006 Amaturá";239;10;249
"130008 Anamã";219;15;234
"130010 Anori";186;-;186
"130014 Apuí";258;-;258
"130020 Atalaia do Norte";339;-;339
"130030 Autazes";519;-;519
"130040 Barcelos";455;1;456
"130050 Barreirinha";462;2;464
"130060 Benjamin Constant";539;22;561
"130063 Beruri";183;-;183
"130068 Boa Vista do Ramos";274;-;274
"130070 Boca do Acre";487;4;491
"130080 Borba";658;-;658
"130083 Caapiranga";236;-;236
"130090 Canutama";212;-;212
"130100 Carauari";282;7;289
"130110 Careiro";518;-;518
"130115 Careiro da Várzea";329;-;329
"130120 Coari";980;6;986
"130130 Codajás";281;-;281
"130140 Eirunepé";510;6;516
"130150 Envira";254;-;254
"130160 Fonte Boa";501;-;501
"130165 Guajará";281;-;281
"130170 Humaitá";837;37;874
"130180 Ipixuna";282;-;282
"130185 Iranduba";842;13;855
"130190 Itacoatiara";1645;31;1676
"130195 Itamarati";128;-;128
"130200 Itapiranga";147;-;147
"130210 Japurá";185;-;185
"130220 Juruá";162;-;162
"130230 Jutaí";403;-;403
"130240 Lábrea";723;4;727
"130250 Manacapuru";1215;21;1236
"130255 Manaquiri";227;-;227
"130260 Manaus";28365;6442;34807
"130270 Manicoré";500;10;510
"130280 Maraã";229;5;234
"130290 Maués";661;6;667
"130300 Nhamundá";432;2;434
"130310 Nova Olinda do Norte";434;1;435
"130320 Novo Airão";368;-;368
"130330 Novo Aripuanã";247;-;247
"130340 Parintins";1539;23;1562
"130350 Pauini";266;-;266
"130353 Presidente Figueiredo";443;31;474
"130356 Rio Preto da Eva";632;4;636
"130360 Santa Isabel do Rio Negro";301;1;302
"130370 Santo Antônio do Içá";399;2;401
"130380 São Gabriel da Cachoeira";973;6;979
"130390 São Paulo de Olivença";628;-;628
"130395 São Sebastião do Uatumã";173;-;173
"130400 Silves";194;-;194
"130406 Tabatinga";1345;2;1347
"130410 Tapauá";334;-;334
"130420 Tefé";998;29;1027
"130423 Tonantins";297;-;297
"130426 Uarini";239;-;239
"130430 Urucará";264;-;264
"130440 Urucurituba";307;-;307
"140005 Alto Alegre";523;-;523
"140002 Amajari";278;-;278
"140010 Boa Vista";6753;410;7163
"140015 Bonfim";266;-;266
"140017 Cantá";212;-;212
"140020 Caracaraí";324;-;324
"140023 Caroebe";169;-;169
"140028 Iracema";192;1;193
"140030 Mucajaí";298;5;303
"140040 Normandia";220;-;220
"140045 Pacaraima";205;5;210
"140047 Rorainópolis";478;7;485
"140050 São João da Baliza";124;-;124
"140060 São Luiz";153;1;154
"140070 Uiramutã";305;-;305
"150010 Abaetetuba";1453;78;1531
"150013 Abel Figueiredo";103;-;103
"150020 Acará";355;1;356
"150030 Afuá";229;1;230
"150034 Água Azul do Norte";223;2;225
"150040 Alenquer";362;3;365
"150050 Almeirim";320;12;332
"150060 Altamira";2191;87;2278
"150070 Anajás";331;1;332
"150080 Ananindeua";4832;668;5500
"150085 Anapu";216;1;217
"150090 Augusto Corrêa";350;4;354
"150095 Aurora do Pará";263;2;265
"150100 Aveiro";126;-;126
"150110 Bagre";211;-;211
"150120 Baião";289;3;292
"150125 Bannach";78;-;78
"150130 Barcarena";1314;92;1406
"150140 Belém";16664;3532;20196
"150145 Belterra";146;2;148
"150150 Benevides";481;15;496
"150157 Bom Jesus do Tocantins";169;-;169
"150160 Bonito";149;-;149
"150170 Bragança";1210;25;1235
"150172 Brasil Novo";238;4;242
"150175 Brejo Grande do Araguaia";89;1;90
"150178 Breu Branco";362;4;366
"150180 Breves";1088;10;1098
"150190 Bujaru";239;-;239
"150200 Cachoeira do Arari";153;-;153
"150195 Cachoeira do Piriá";213;-;213
"150210 Cametá";1325;190;1515
"150215 Canaã dos Carajás";743;439;1182
"150220 Capanema";950;81;1031
"150230 Capitão Poço";486;23;509
"150240 Castanhal";2048;134;2182
"150250 Chaves";157;-;157
"150260 Colares";120;-;120
"150270 Conceição do Araguaia";626;25;651
"150275 Concórdia do Pará";203;1;204
"150276 Cumaru do Norte";123;-;123
"150277 Curionópolis";158;12;170
"150280 Curralinho";232;-;232
"150285 Curuá";114;-;114
"150290 Curuçá";274;-;274
"150293 Dom Eliseu";519;29;548
"150295 Eldorado do Carajás";243;45;288
"150300 Faro";141;-;141
"150304 Floresta do Araguaia";205;-;205
"150307 Garrafão do Norte";373;-;373
"150309 Goianésia do Pará";305;-;305
"150310 Gurupá";282;-;282
"150320 Igarapé-Açu";511;5;516
"150330 Igarapé-Miri";410;4;414
"150340 Inhangapi";111;-;111
"150345 Ipixuna do Pará";708;8;716
"150350 Irituia";258;-;258
"150360 Itaituba";926;139;1065
"150370 Itupiranga";377;-;377
"150375 Jacareacanga";348;-;348
"150380 Jacundá";421;22;443
"150390 Juruti";493;93;586
"150400 Limoeiro do Ajuru";330;-;330
"150405 Mãe do Rio";253;10;263
"150410 Magalhães Barata";102;-;102
"150420 Marabá";3227;422;3649
"150430 Maracanã";302;3;305
"150440 Marapanim";201;4;205
"150442 Marituba";1056;24;1080
"150445 Medicilândia";184;-;184
"150450 Melgaço";186;-;186
"150460 Mocajuba";197;-;197
"150470 Moju";313;6;319
"150475 Mojuí dos Campos";190;-;190
